SYMBOL	PATH
2	A2M	04610
4	NAT1	00232
5	NAT1	00983
6	NAT1	01100
7	NAT2	00232
8	NAT2	00983
9	NAT2	01100
14	AANAT	00380
15	AANAT	01100
16	AARS1	00970
18	ABAT	00250
19	ABAT	00280
20	ABAT	00410
21	ABAT	00640
22	ABAT	00650
23	ABAT	01100
24	ABCA1	02010
25	ABCA1	04975
26	ABCA2	02010
27	ABCA2	04142
28	ABCA3	02010
29	ABCB7	02010
31	ABCA4	02010
32	ABL1	04012
33	ABL1	04110
34	ABL1	04360
35	ABL1	04722
36	ABL1	05130
37	ABL1	05131
38	ABL1	05200
39	ABL1	05220
40	ABL1	05416
41	AOC1	00330
42	AOC1	00340
43	AOC1	00380
44	ABL2	04012
45	ABL2	05416
46	ABO	00601
47	ABO	01100
49	ACAA1	00071
50	ACAA1	00280
51	ACAA1	01040
52	ACAA1	01100
53	ACAA1	03320
54	ACAA1	04146
55	ACACA	00061
56	ACACA	00620
57	ACACA	00640
58	ACACA	01100
59	ACACA	04910
60	ACACB	00061
61	ACACB	00620
62	ACACB	00640
63	ACACB	01100
64	ACACB	04910
65	ACACB	04920
66	ACADL	00071
67	ACADL	01100
68	ACADL	03320
69	ACADM	00071
70	ACADM	00280
71	ACADM	00410
72	ACADM	00640
73	ACADM	01100
74	ACADM	03320
75	ACADS	00071
76	ACADS	00280
77	ACADS	00650
78	ACADS	01100
79	ACADSB	00071
80	ACADSB	00280
81	ACADSB	01100
82	ACADVL	00071
83	ACADVL	01100
84	ACAT1	00071
85	ACAT1	00072
86	ACAT1	00280
87	ACAT1	00310
88	ACAT1	00380
89	ACAT1	00620
90	ACAT1	00630
91	ACAT1	00640
92	ACAT1	00650
93	ACAT1	00900
94	ACAT1	01100
95	ACAT2	00071
96	ACAT2	00072
97	ACAT2	00280
98	ACAT2	00310
99	ACAT2	00380
100	ACAT2	00620
101	ACAT2	00630
102	ACAT2	00640
103	ACAT2	00650
104	ACAT2	00900
105	ACAT2	01100
106	ACAT2	04975
107	ASIC2	04742
109	ACHE	00564
111	ACLY	00020
112	ACLY	01100
113	ACO1	00020
114	ACO1	00630
115	ACO1	01100
117	ACO2	00020
118	ACO2	00630
119	ACO2	01100
120	ACOX1	00071
121	ACOX1	00592
122	ACOX1	01040
123	ACOX1	01100
124	ACOX1	03320
125	ACOX1	04146
126	ACP1	00740
127	ACP1	04520
128	ACP2	00740
129	ACP2	04142
130	ACP5	00740
131	ACP5	04142
132	ACP5	04380
133	ACP5	05323
134	ACP3	00740
137	ACTA2	04270
138	ACTB	04145
139	ACTB	04510
140	ACTB	04520
141	ACTB	04530
142	ACTB	04670
143	ACTB	04810
144	ACTB	04971
145	ACTB	05100
146	ACTB	05110
147	ACTB	05130
148	ACTB	05131
149	ACTB	05410
150	ACTB	05412
151	ACTB	05414
152	ACTB	05416
160	ACTC1	04260
161	ACTC1	05410
162	ACTC1	05414
163	ACTG1	04145
164	ACTG1	04510
165	ACTG1	04520
166	ACTG1	04530
167	ACTG1	04670
168	ACTG1	04810
169	ACTG1	05100
170	ACTG1	05110
171	ACTG1	05130
172	ACTG1	05131
173	ACTG1	05410
174	ACTG1	05412
175	ACTG1	05414
176	ACTG1	05416
177	ACTG2	04270
184	ACTN4	04510
185	ACTN4	04520
186	ACTN4	04530
187	ACTN4	04670
188	ACTN4	04810
189	ACTN4	05146
190	ACTN4	05322
191	ACTN4	05412
195	ACTN1	04510
196	ACTN1	04520
197	ACTN1	04530
198	ACTN1	04670
199	ACTN1	04810
200	ACTN1	05146
201	ACTN1	05322
202	ACTN1	05412
203	ACTN2	04510
204	ACTN2	04520
205	ACTN2	04530
206	ACTN2	04670
207	ACTN2	04810
208	ACTN2	05146
209	ACTN2	05322
210	ACTN2	05412
211	ACTN3	04510
212	ACTN3	04520
213	ACTN3	04530
214	ACTN3	04670
215	ACTN3	04810
216	ACTN3	05146
217	ACTN3	05322
218	ACTN3	05412
219	ACVR1	04060
220	ACVR1	04350
221	ACVR1B	04060
222	ACVR2A	04060
223	ACVR2A	04350
224	ACVR2B	04060
225	ACVR2B	04350
227	ACY1	00330
228	ACY1	01100
229	ACYP1	00620
230	ACYP2	00620
231	ADA	00230
232	ADA	01100
233	ADA	05340
235	ADAM10	05010
236	ADAM10	05120
237	ADAR	04623
241	ADCY1	00230
242	ADCY1	04020
243	ADCY1	04062
244	ADCY1	04114
245	ADCY1	04270
246	ADCY1	04540
247	ADCY1	04720
248	ADCY1	04912
249	ADCY1	04914
250	ADCY1	04916
251	ADCY1	04970
252	ADCY1	04971
253	ADCY1	04972
254	ADCY1	04976
255	ADCY1	05142
256	ADCY1	05146
257	ADCY1	05414
258	ADCY2	00230
259	ADCY2	04020
260	ADCY2	04062
261	ADCY2	04114
262	ADCY2	04270
263	ADCY2	04540
264	ADCY2	04912
265	ADCY2	04914
266	ADCY2	04916
267	ADCY2	04970
268	ADCY2	04971
269	ADCY2	04972
270	ADCY2	04976
271	ADCY2	05414
272	ADCY3	00230
273	ADCY3	04020
274	ADCY3	04062
275	ADCY3	04114
276	ADCY3	04270
277	ADCY3	04540
278	ADCY3	04740
279	ADCY3	04912
280	ADCY3	04914
281	ADCY3	04916
282	ADCY3	04962
283	ADCY3	04970
284	ADCY3	04971
285	ADCY3	04972
286	ADCY3	04976
287	ADCY3	05110
288	ADCY3	05414
289	ADCY5	00230
290	ADCY5	04062
291	ADCY5	04114
292	ADCY5	04270
293	ADCY5	04540
294	ADCY5	04912
295	ADCY5	04914
296	ADCY5	04916
297	ADCY5	04970
298	ADCY5	04971
299	ADCY5	04972
300	ADCY5	04976
301	ADCY5	05414
302	ADCY6	00230
303	ADCY6	04062
304	ADCY6	04114
305	ADCY6	04270
306	ADCY6	04540
307	ADCY6	04742
308	ADCY6	04912
309	ADCY6	04914
310	ADCY6	04916
311	ADCY6	04962
312	ADCY6	04970
313	ADCY6	04971
314	ADCY6	04972
315	ADCY6	04976
316	ADCY6	05414
317	ADCY7	00230
318	ADCY7	04020
319	ADCY7	04062
320	ADCY7	04114
321	ADCY7	04270
322	ADCY7	04540
323	ADCY7	04912
324	ADCY7	04914
325	ADCY7	04916
326	ADCY7	04970
327	ADCY7	04971
328	ADCY7	04972
329	ADCY7	04976
330	ADCY7	05414
331	ADCY8	00230
332	ADCY8	04020
333	ADCY8	04062
334	ADCY8	04114
335	ADCY8	04270
336	ADCY8	04540
337	ADCY8	04720
338	ADCY8	04742
339	ADCY8	04912
340	ADCY8	04914
341	ADCY8	04916
342	ADCY8	04970
343	ADCY8	04971
344	ADCY8	04972
345	ADCY8	04976
346	ADCY8	05414
347	ADCY9	00230
348	ADCY9	04020
349	ADCY9	04062
350	ADCY9	04114
351	ADCY9	04270
352	ADCY9	04540
353	ADCY9	04912
354	ADCY9	04914
355	ADCY9	04916
356	ADCY9	04962
357	ADCY9	04970
358	ADCY9	04971
359	ADCY9	04972
360	ADCY9	04976
361	ADCY9	05110
362	ADCY9	05414
364	ADCYAP1R1	04080
370	ADH1A	00010
371	ADH1A	00071
372	ADH1A	00350
373	ADH1A	00830
374	ADH1A	00980
375	ADH1A	00982
376	ADH1A	01100
377	ADH1B	00010
378	ADH1B	00071
379	ADH1B	00350
380	ADH1B	00830
381	ADH1B	00980
382	ADH1B	00982
383	ADH1B	01100
384	ADH1C	00010
385	ADH1C	00071
386	ADH1C	00350
387	ADH1C	00830
388	ADH1C	00980
389	ADH1C	00982
390	ADH1C	01100
391	ADH4	00010
392	ADH4	00071
393	ADH4	00350
394	ADH4	00830
395	ADH4	00980
396	ADH4	00982
397	ADH4	01100
398	ADH5	00010
399	ADH5	00071
400	ADH5	00350
401	ADH5	00830
402	ADH5	00980
403	ADH5	00982
404	ADH5	01100
405	ADH6	00010
406	ADH6	00071
407	ADH6	00350
408	ADH6	00830
409	ADH6	00980
410	ADH6	00982
411	ADH6	01100
412	ADH7	00010
413	ADH7	00071
414	ADH7	00350
415	ADH7	00830
416	ADH7	00980
417	ADH7	00982
418	ADH7	01100
419	ADK	00230
420	ADK	01100
422	ADORA1	04080
423	ADORA2A	04020
